date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:17:17	546/546	---M--	200	added ('OK')	text/plain	etag:%2214abf49b528ffe2db9de97941c7ed88e%22	https://cinelove.me/robots.txt		(from )
22:17:17	243877/243877	---MCZ	200	added ('OK')	text/html	etag:W/%22q2gt31r3s57pm%22	https://cinelove.me/template/pc/thiep-cuoi-46	D:/Web/cine_1/cinelove.me/template/pc/thiep-cuoi-46.html	(from )
22:17:17	22857/22857	---M--	200	added ('OK')	image/png	etag:%22da0537253250a19ebfe845ec3607a7f1%22	https://cinelove.me/apple-touch-icon.png	D:/Web/cine_1/cinelove.me/apple-touch-icon.png	(from https://cinelove.me/template/pc/thiep-cuoi-46)
22:17:18	1861/1861	---M--	200	added ('OK')	image/png	etag:%221a9524539fa618544738cacd8bb0b8d3%22	https://cinelove.me/favicon-32x32.png	D:/Web/cine_1/cinelove.me/favicon-32x32.png	(from https://cinelove.me/template/pc/thiep-cuoi-46)
22:17:18	752/752	---M--	200	added ('OK')	image/png	etag:%222dcc595e7098275374df143cbb16f3a7%22	https://cinelove.me/favicon-16x16.png	D:/Web/cine_1/cinelove.me/favicon-16x16.png	(from https://cinelove.me/template/pc/thiep-cuoi-46)
22:17:19	239029/239029	---MCZ	200	added ('OK')	text/css	etag:W/%2223147e1771b4c6c13b4e3ee6c184048a%22	https://cinelove.me/_next/static/css/534d19d963ca7a9d.css?dpl=dpl_4UUuxQNPQrqma7htYpMUtHYRhu55	D:/Web/cine_1/cinelove.me/_next/static/css/534d19d963ca7a9de7ac.css	(from https://cinelove.me/template/pc/thiep-cuoi-46)
22:17:19	7133/7133	---MCZ	200	added ('OK')	text/css	etag:W/%220db5f7c0a122af79be262e89abd25b98%22	https://cinelove.me/_next/static/css/3a12fbab90cd8589.css?dpl=dpl_4UUuxQNPQrqma7htYpMUtHYRhu55	D:/Web/cine_1/cinelove.me/_next/static/css/3a12fbab90cd8589e7ac.css	(from https://cinelove.me/template/pc/thiep-cuoi-46)
22:17:19	112594/112594	---MCZ	200	added ('OK')	application/javascript	etag:W/%22846118c33b2c0e922d7b3a7676f81f6f%22	https://cinelove.me/_next/static/chunks/polyfills-42372ed130431b0a.js?dpl=dpl_4UUuxQNPQrqma7htYpMUtHYRhu55	D:/Web/cine_1/cinelove.me/_next/static/chunks/polyfills-42372ed130431b0ae7ac.js	(from https://cinelove.me/template/pc/thiep-cuoi-46)
22:17:20	4051/4051	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ce4bd04d75f2eda21bc98e34adf4827b%22	https://cinelove.me/_next/static/chunks/webpack-dc28e43fe2961816.js?dpl=dpl_4UUuxQNPQrqma7htYpMUtHYRhu55	D:/Web/cine_1/cinelove.me/_next/static/chunks/webpack-dc28e43fe2961816e7ac.js	(from https://cinelove.me/template/pc/thiep-cuoi-46)
22:17:20	182738/182738	---MCZ	200	added ('OK')	application/javascript	etag:W/%22878735084d2e53ea78dca8a8bdbc69a3%22	https://cinelove.me/_next/static/chunks/framework-dc5269af09520b77.js?dpl=dpl_4UUuxQNPQrqma7htYpMUtHYRhu55	D:/Web/cine_1/cinelove.me/_next/static/chunks/framework-dc5269af09520b77e7ac.js	(from https://cinelove.me/template/pc/thiep-cuoi-46)
22:17:21	171930/171930	---MCZ	200	added ('OK')	application/javascript	etag:W/%22397eae8989fb33546f1362fe305209b0%22	https://cinelove.me/_next/static/chunks/main-79c22f8fb3fa9a2b.js?dpl=dpl_4UUuxQNPQrqma7htYpMUtHYRhu55	D:/Web/cine_1/cinelove.me/_next/static/chunks/main-79c22f8fb3fa9a2be7ac.js	(from https://cinelove.me/template/pc/thiep-cuoi-46)
22:17:21	415846/415846	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ae83b0a517e4d75c4c272d1868c3bab0%22	https://cinelove.me/_next/static/chunks/pages/_app-f04f9a7241ecab6d.js?dpl=dpl_4UUuxQNPQrqma7htYpMUtHYRhu55	D:/Web/cine_1/cinelove.me/_next/static/chunks/pages/_app-f04f9a7241ecab6de7ac.js	(from https://cinelove.me/template/pc/thiep-cuoi-46)
22:17:22	624/624	---M--	200	added ('OK')	application/javascript	etag:%229a3754c10495ef392e98441e1e5f6390%22	https://cinelove.me/_next/static/chunks/efc462c4-9caaa4cc3752feeb.js?dpl=dpl_4UUuxQNPQrqma7htYpMUtHYRhu55	D:/Web/cine_1/cinelove.me/_next/static/chunks/efc462c4-9caaa4cc3752feebe7ac.js	(from https://cinelove.me/template/pc/thiep-cuoi-46)
22:17:22	1499/1499	---MCZ	200	added ('OK')	application/javascript	etag:W/%22060c6ab842b8a63eab8088ae9db8f5dd%22	https://cinelove.me/_next/static/chunks/e07c49f9-39653a52889c0369.js?dpl=dpl_4UUuxQNPQrqma7htYpMUtHYRhu55	D:/Web/cine_1/cinelove.me/_next/static/chunks/e07c49f9-39653a52889c0369e7ac.js	(from https://cinelove.me/template/pc/thiep-cuoi-46)
22:17:23	589/589	---M--	200	added ('OK')	application/javascript	etag:%22596aa323e125600c9396971de1efa3f6%22	https://cinelove.me/_next/static/chunks/0567a2cb-edb904d8796c146d.js?dpl=dpl_4UUuxQNPQrqma7htYpMUtHYRhu55	D:/Web/cine_1/cinelove.me/_next/static/chunks/0567a2cb-edb904d8796c146de7ac.js	(from https://cinelove.me/template/pc/thiep-cuoi-46)
22:17:23	5212/5212	---MCZ	200	added ('OK')	application/javascript	etag:W/%220765d7fe6028716e1db14edc991528ac%22	https://cinelove.me/_next/static/chunks/f90b51d6-cf66b14d678310ad.js?dpl=dpl_4UUuxQNPQrqma7htYpMUtHYRhu55	D:/Web/cine_1/cinelove.me/_next/static/chunks/f90b51d6-cf66b14d678310ade7ac.js	(from https://cinelove.me/template/pc/thiep-cuoi-46)
